# Title: VN Malicious Domains Splunk Lookup
# Description: Block malicious domains targeting Vietnamese users
# Updated: 2024-08-09T12:06:53Z
# Expires: 1 day (update frequency)
# Homepage: https://gitlab.com/malware-filter/vn-badsite-filter
# License: https://gitlab.com/malware-filter/vn-badsite-filter#license
# Source: https://api.chongluadao.vn/v2/blacklistdomains & https://api.chongluadao.vn/v2/blacklistlinks
"host","path","message","updated"
"000000.live","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0000a.net","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"001130084.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0011384.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"001989.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"006901.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"007agent.co","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"007zpo.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"008.mx","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0084113.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"008484.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0088shop.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"008917.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"008921.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"00eu.cn","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"00p.live","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"01138400.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0188vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0288vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0388vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0488vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"04prok8.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"04singapore.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0588vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"060444.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"061513.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"061515.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"061762.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"061823.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"061895.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"065063.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"06555p.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0688vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"06io6r.website","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"06kte6.tokyo","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0788vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0805113.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0840113.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0840113vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0840113vn.org","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"084113113.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0888vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0938020000thay.shop","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0988vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0ayiomhb.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0bblive.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0bong88.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0bugyto.cfd","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0d.live","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0fzj64.cn","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0h77wqp.cfd","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0mcmc.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0mmlive.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0mo0mo.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0s.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0s600.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0sgaming-download.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0sgaming.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0tvi2upz7g-o-aj7f2qn.icu","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0wfootball.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"0wfootball.org","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"10001mb.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"101977.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"106-pvdh.cdn-ng.net","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"108589.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"108831.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"108843.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"108856.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"108864.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"10bblive.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"10hotlive.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"10k.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"10lxysp.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"10mmlive.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"10s.club","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"10sao.me","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"1100789.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"1102.bet","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11111.tv","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"1111mc.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11300113.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"113623.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11384vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"113hax.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"113hax.net","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"113momo.site","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"113vn.net","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11728.cc","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"1182vn.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"118kbet.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11bet.win","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11hotlive.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11luxu.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11luxury.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11lxysp.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11sao.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11tiki.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"11zalo.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"120015.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"1217.cc","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"123-vay.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"123123bet.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"123123bet01.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"123123bet02.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"123123bet03.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"12338.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
